,FL_NUM,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_ARR_TIME,DEP_DEL15,ARR_DEL15,DEP_DELAY
0,1399,1,1,5,ATL,SEA,2143,0.0,0.0,2.0
1,1476,1,1,5,DTW,MSP,1435,0.0,0.0,-1.0
2,1597,1,1,5,ATL,SEA,1215,0.0,0.0,2.0
3,1768,1,1,5,SEA,MSP,1335,0.0,0.0,1.0
4,1823,1,1,5,SEA,DTW,607,0.0,0.0,-4.0
5,1975,1,1,5,MSP,ATL,1459,0.0,0.0,-2.0
6,2074,1,2,6,ATL,MSP,1931,0.0,0.0,0.0
7,2151,1,2,6,MSP,SEA,1929,0.0,0.0,11.0
8,2221,1,2,6,MSP,SEA,1305,0.0,0.0,0.0
9,2291,1,2,6,MSP,ATL,1801,0.0,0.0,13.0
10,2350,1,2,6,ATL,JFK,1038,0.0,0.0,3.0
11,2444,1,2,6,ATL,SEA,1621,0.0,0.0,10.0
12,2610,1,2,6,ATL,MSP,904,0.0,0.0,-4.0
13,2826,1,2,6,DTW,SEA,1047,0.0,0.0,6.0
14,2845,1,2,6,DTW,ATL,1830,0.0,0.0,-2.0
15,86,1,3,7,MSP,DTW,1620,0.0,0.0,-8.0
16,423,1,3,7,JFK,ATL,1538,0.0,0.0,-2.0
17,1823,1,2,6,DTW,SEA,1929,0.0,0.0,-4.0
18,1972,1,2,6,SEA,JFK,1530,0.0,0.0,0.0
19,2005,1,2,6,ATL,DTW,920,0.0,0.0,-2.0
20,2039,1,2,6,ATL,SEA,1059,1.0,0.0,23.0
21,902,1,3,7,ATL,DTW,1655,0.0,0.0,-2.0
22,997,1,3,7,MSP,DTW,1116,0.0,0.0,-1.0
23,1108,1,3,7,MSP,ATL,1835,0.0,0.0,2.0
24,1231,1,3,7,ATL,DTW,1537,0.0,0.0,-1.0
25,1291,1,3,7,SEA,ATL,1529,0.0,0.0,5.0
26,1397,1,3,7,MSP,SEA,1625,0.0,0.0,-1.0
27,1444,1,3,7,DTW,ATL,2227,0.0,0.0,1.0
28,1491,1,3,7,MSP,ATL,940,0.0,0.0,-2.0
